,obsNo,userID,itemID,styleID,rating,brewerID,timestamp
33647,33674,409,178,60,3.5,60,1304100974
26874,26901,490,47046,2310,4.0,2310,1231039557
9336,9345,421,25520,2310,3.5,2310,1322953940
19384,19393,3960,47658,1199,4.5,1199,1248317110
37421,37448,3141,21822,1199,3.5,1199,1268545424
24026,24035,1649,727,263,4.0,263,1262479626
27219,27246,2781,20478,1199,4.5,1199,1200448080
41497,41524,812,5411,394,4.0,394,1319566491
6514,6523,942,64879,2055,3.0,2055,1293725917
39353,39380,7427,13153,3282,4.0,3282,1096250558
21319,21328,304,11757,1199,4.0,1199,1324008938
19118,19127,4513,4904,1417,3.5,1417,1215995686
14741,14750,815,7673,3268,3.0,3268,1303432085
28459,28486,1377,7348,1199,4.0,1199,1282699632
12136,12145,6950,8424,14,4.5,14,1162428945
2981,2981,410,16074,1199,4.5,1199,1301004472
44203,44230,3171,62419,12224,2.0,12224,1287711654
34793,34820,5178,4073,1199,4.5,1199,1239051920
20715,20724,241,11757,1199,5.0,1199,1321768582
7882,7891,2851,16638,3268,3.5,3268,1290126796
4419,4419,5154,2572,807,5.0,807,1231670372
16301,16310,598,33644,14879,4.0,14879,1209533095
13743,13752,587,1791,60,3.5,60,1267593639
19609,19618,1214,10784,1075,4.0,1075,1307414867
42697,42724,1531,29687,395,4.0,395,1174780099
25281,25290,5603,35036,1199,3.5,1199,1198043366
41838,41865,2001,53513,14,3.5,14,1255978782
7597,7606,24,16073,1199,3.0,1199,1200416058
22020,22029,30,25918,12224,3.0,12224,1148862888
35727,35754,3694,727,263,4.0,263,1171500993
32918,32945,7140,513,14,4.5,14,1129052386
43699,43726,6401,5441,1199,4.0,1199,1125360834
2031,2031,5964,1018,263,4.0,263,1206932991
15316,15325,5158,1504,568,3.0,568,1240843572
32513,32540,7699,16074,1199,4.5,1199,1127346166
20687,20696,2135,19960,1199,5.0,1199,1282831472
5448,5448,1525,19960,1199,4.0,1199,1268705086
7719,7728,2888,11757,1199,4.0,1199,1290875400
14006,14015,6172,19960,1199,4.5,1199,1211162849
11164,11173,1188,34146,1199,4.0,1199,1316222144
15971,15980,4820,16074,1199,4.0,1199,1243567124
24954,24963,1768,727,263,4.5,263,1262958840
29312,29339,5637,29145,263,5.0,263,1184693048
32890,32917,4813,36670,394,4.5,394,1211441678
8467,8476,894,60225,5319,4.0,5319,1279585617
29725,29752,6779,11757,1199,5.0,1199,1129577162
16259,16268,6560,2106,394,4.5,394,1189907844
7004,7013,2137,3606,1315,4.5,1315,1301150670
35708,35735,5639,11757,1199,4.5,1199,1230243499
22691,22700,4365,5441,1199,4.5,1199,1193497035
29272,29299,502,20478,1199,4.0,1199,1321742807
11161,11170,1188,58053,395,3.5,395,1301879378
546,546,4890,34146,1199,3.0,1199,1248213479
6519,6528,942,62631,23982,3.5,23982,1291587536
21318,21327,1590,16074,1199,4.0,1199,1311274094
8246,8255,1334,20539,394,1.0,394,1314470178
25513,25540,5908,19960,1199,4.0,1199,1185074433
33165,33192,5769,1324,263,4.5,263,1226434170
9973,9982,558,34361,394,4.0,394,1232225759
30953,30980,7553,26350,11710,3.5,11710,1129120398
32315,32342,3318,25414,1075,3.5,1075,1232762866
21686,21695,2487,41843,14338,4.0,14338,1206748011
22753,22762,411,21822,1199,4.5,1199,1304378354
27293,27320,8247,1504,568,4.5,568,1048809630
22193,22202,334,52211,14879,4.0,14879,1318086762
904,904,2549,46386,365,1.0,365,1297608891
495,495,198,727,263,4.0,263,1309756348
20401,20410,5223,34146,1199,4.0,1199,1238799818
6229,6238,5706,11757,1199,4.5,1199,1228266587
30466,30493,1450,20893,9020,4.5,9020,1292548331
14181,14190,3256,35982,2430,1.5,2430,1174525547
25438,25465,5167,19960,1199,4.5,1199,1223945273
10544,10553,5491,19869,1199,3.5,1199,1100921542
22135,22144,7122,28427,1616,3.5,1616,1140319318
17487,17496,937,7348,1199,4.5,1199,1318603734
105,105,1256,40153,14879,4.0,14879,1296607557
5385,5385,5160,7463,1199,4.0,1199,1201110124
25359,25368,4213,33644,14879,5.0,14879,1262145507
22503,22512,1101,25852,1199,4.0,1199,1317252991
4859,4859,263,16073,1199,4.0,1199,1158892038
13640,13649,5190,16074,1199,4.0,1199,1234315146
1692,1692,3028,41788,15636,4.0,15636,1290557293
29943,29970,1795,21822,1199,4.0,1199,1302886302
35200,35227,4766,33624,14879,4.5,14879,1251326886
3106,3106,6423,1622,394,3.5,394,1199577362
33155,33182,4573,53677,20658,3.0,20658,1256603098
31024,31051,453,29687,395,3.0,395,1322599065
15175,15184,1094,1504,568,4.0,568,1297230367
22998,23007,919,7463,1199,4.0,1199,1317091710
27376,27403,5850,25656,9020,4.0,9020,1220878782
12275,12284,521,46088,16386,4.0,16386,1294193084
5521,5521,2800,60686,3268,3.5,3268,1293842366
24305,24314,109,26012,807,3.5,807,1311039994
25844,25871,588,19960,1199,4.0,1199,1207960052
1278,1278,1005,57110,14879,4.5,14879,1318130023
38645,38672,1740,35572,11203,3.0,11203,1252037014
36044,36071,2043,55900,1199,4.0,1199,1290567918
6489,6498,5156,5441,1199,4.5,1199,1240271221
13280,13289,74,8274,765,3.5,765,1105203843
39411,39438,1360,28949,13397,3.5,13397,1196379222
1917,1917,1,1018,263,3.5,263,1307383882
12535,12544,4821,3824,1417,4.0,1417,1243460173
20219,20228,397,17538,1199,3.0,1199,1310173490
38537,38564,168,16074,1199,5.0,1199,1252900309
22992,23001,919,727,263,4.0,263,1318048121
3801,3801,57,59548,14879,3.5,14879,1307925265
8388,8397,5500,436,163,3.5,163,1156544819
10481,10490,2478,63995,21841,4.0,21841,1291082476
9209,9218,3572,11757,1199,3.5,1199,1279468651
32340,32367,3001,48911,1199,3.0,1199,1241237284
15176,15185,1094,20470,394,3.5,394,1158886929
19736,19745,3749,7348,1199,4.5,1199,1274361016
8108,8117,1851,21822,1199,4.5,1199,1288218478
38637,38664,4135,11757,1199,4.5,1199,1256783691
40223,40250,111,24905,1199,3.0,1199,1279169236
11858,11867,16,26012,807,4.5,807,1290024331
15121,15130,6180,33662,14879,4.0,14879,1210382895
18657,18666,1569,29145,263,3.5,263,1294980677
75,75,2533,962,365,2.5,365,1297824731
7069,7078,4013,5441,1199,3.0,1199,1247189538
10931,10940,235,20818,1075,5.0,1075,1310693953
18760,18769,5674,961,365,3.0,365,1225761385
22716,22725,2030,19960,1199,5.0,1199,1304574186
34054,34081,3573,17538,1199,4.0,1199,1279425061
39933,39960,2224,43893,7402,3.0,7402,1256906932
27651,27678,647,7348,1199,4.0,1199,1320897429
37406,37433,5586,23474,1199,4.5,1199,1215370959
32192,32219,3537,4904,1417,4.5,1417,1109716677
36670,36697,2510,429,1,4.0,1,1230931468
18558,18567,5267,21822,1199,4.0,1199,1238622124
4813,4813,3009,429,1,4.0,1,1249335229
9937,9946,932,5441,1199,4.0,1199,1310071604
40352,40379,6191,562,14,4.0,14,955497601
2023,2023,5964,5441,1199,4.5,1199,1206497945
6820,6829,1182,10784,1075,4.5,1075,1206392607
22478,22487,7462,13816,14,2.5,14,1147368786
42671,42698,1531,4904,1417,3.5,1417,1060485749
26702,26729,6645,507,14,4.0,14,1190922100
18038,18047,1530,16074,1199,4.0,1199,1251238166
39767,39794,139,28951,13397,2.0,13397,1299590207
27629,27656,1620,11757,1199,4.0,1199,1310788601
22552,22561,25,4073,1199,4.0,1199,1215622804
39807,39834,139,49077,1199,4.5,1199,1254769479
41574,41601,4980,21556,568,3.0,568,1193904717
21560,21569,8259,2572,807,4.0,807,1011784346
5480,5480,8083,1549,394,3.5,394,1080324003
18224,18233,2266,11757,1199,4.5,1199,1301446718
32891,32918,4813,17538,1199,4.0,1199,1217600716
16009,16018,3389,29687,395,3.5,395,1182387933
34613,34640,7980,1599,60,3.5,60,1099879112
35173,35200,2125,20417,395,4.0,395,1164000698
18664,18673,1569,59440,14,4.5,14,1309032407
29859,29886,2228,36670,394,4.0,394,1301876122
28317,28344,6257,19960,1199,4.0,1199,1175489997
14818,14827,2494,5441,1199,4.0,1199,1266214448
35667,35694,7890,1121,395,4.5,395,1078608434
29795,29822,1520,36862,14879,4.0,14879,1214944790
2318,2318,3218,19960,1199,4.5,1199,1286853458
11838,11847,5322,13350,3268,4.0,3268,1213662848
11523,11532,6317,19960,1199,5.0,1199,1206242721
38626,38653,3163,46386,365,2.5,365,1287803909
6053,6062,3447,4904,1417,4.0,1417,1239425366
1394,1394,7160,17010,577,3.5,577,1157334607
10813,10822,1588,10784,1075,4.5,1075,1309289930
24583,24592,753,1018,263,3.5,263,1318376704
16166,16175,7330,25656,9020,4.0,9020,1123275841
9630,9639,590,961,365,4.0,365,1243492313
34335,34362,629,963,365,4.0,365,1199772483
41767,41794,2001,30372,13831,3.5,13831,1171232753
17845,17854,4893,17538,1199,3.0,1199,1248147578
16853,16862,4295,1554,568,3.5,568,1169351920
31415,31442,8066,1122,395,4.0,395,1037832913
14358,14367,3063,34146,1199,4.0,1199,1242949723
31348,31375,270,6523,14,3.5,14,1316481847
8723,8732,439,29204,395,2.5,395,1238172962
3595,3595,197,5972,395,3.5,395,1138461677
14958,14967,29,47658,1199,4.0,1199,1281590019
38297,38324,7223,17538,1199,4.5,1199,1140539315
35252,35279,2638,26201,453,3.0,453,1273618898
34735,34762,305,54134,14879,1.0,14879,1301712463
42973,43000,5019,429,1,3.5,1,1196765225
13228,13237,1417,7463,1199,3.5,1199,1313533247
28770,28797,5162,19960,1199,4.0,1199,1240756208
31391,31418,2136,47658,1199,5.0,1199,1302877642
23251,23260,1949,19960,1199,5.0,1199,1305758056
11906,11915,983,37518,14879,4.0,14879,1218416561
23460,23469,930,21800,14,4.0,14,1289147936
5091,5091,300,48556,21516,3.5,21516,1275947121
27598,27625,3249,16074,1199,4.0,1199,1181609452
39361,39388,7427,7693,3282,4.0,3282,1096178915
7963,7972,3677,25656,9020,3.5,9020,1241081572
23117,23126,335,57110,14879,4.5,14879,1293481630
2492,2492,2206,51483,9020,4.0,9020,1292178920
10569,10578,5491,1504,568,4.5,568,1150311521
41338,41365,7244,16115,1199,4.0,1199,1110742384
24453,24462,504,35036,1199,2.0,1199,1322249692
34160,34187,31,429,1,4.0,1,1105407626
26941,26968,490,37403,1199,5.0,1199,1208614283
4546,4546,5072,429,1,3.5,1,1184990768
16561,16570,1143,60511,1199,4.5,1199,1283396793
30553,30580,6979,24905,1199,4.5,1199,1138671502
24415,24424,8238,429,1,2.0,1,1050919339
44278,44305,920,60661,1199,4.0,1199,1282859288
19563,19572,1232,17538,1199,4.0,1199,1310928906
22070,22079,2321,7463,1199,3.5,1199,1296778347
35369,35396,700,34146,1199,4.5,1199,1301537287
29696,29723,13,59826,13831,3.0,13831,1279220013
43149,43176,2423,11493,5313,4.0,5313,1067395612
426,426,3080,5441,1199,4.5,1199,1289633708
19986,19995,3090,22591,9370,3.5,9370,1112753082
15495,15504,7944,178,60,4.0,60,1104964877
36012,36039,884,17538,1199,4.5,1199,1318986614
16327,16336,2354,1599,60,4.5,60,1258131263
15531,15540,6839,19960,1199,5.0,1199,1152669078
5348,5348,1097,48519,21516,3.0,21516,1265773268
29175,29202,3156,11757,1199,4.5,1199,1266786685
38189,38216,4074,8575,14,4.0,14,1087980391
17508,17517,1691,70770,1199,4.0,1199,1309920771
37779,37806,2597,1525,568,4.0,568,1143165667
4178,4178,4507,1525,568,2.5,568,1224294071
28498,28525,1865,50448,16386,3.5,16386,1306899334
30332,30359,371,1324,263,4.5,263,1289963170
38966,38993,4476,178,60,4.0,60,1190259976
11872,11881,983,27597,765,3.0,765,1200766488
25638,25665,100,33644,14879,4.5,14879,1251986645
15720,15729,4397,52269,395,4.0,395,1251827173
22164,22173,8213,962,365,4.5,365,1027761521
4698,4698,929,7463,1199,4.5,1199,1313708828
7012,7021,1953,22450,3268,4.0,3268,1182351918
34902,34929,2472,25884,12224,1.5,12224,1288405023
10440,10449,2478,21822,1199,4.0,1199,1234329788
18210,18219,5446,25382,394,4.0,394,1234638028
29737,29764,6779,7463,1199,5.0,1199,1154041224
36848,36875,1457,4073,1199,3.5,1199,1303849523
32309,32336,3318,28950,13397,3.0,13397,1237430470
17323,17332,4549,20539,394,3.5,394,1236639619
26659,26686,4,64262,2055,4.0,2055,1291952708
2575,2575,2945,34738,1463,3.5,1463,1170355829
9386,9395,1058,7348,1199,4.5,1199,1315091169
34900,34927,1989,19960,1199,4.5,1199,1305097892
19954,19963,6511,30034,13670,4.0,13670,1178927432
27687,27714,1183,5411,394,4.0,394,1274924861
43750,43777,2915,7849,2310,4.0,2310,1216591567
16664,16673,3791,20470,394,3.5,394,1235217621
24555,24564,2618,19960,1199,4.5,1199,1273076130
2711,2711,990,3824,1417,2.5,1417,1221093005
8462,8471,894,64060,1386,3.5,1386,1291418314
30889,30916,269,75728,13905,4.0,13905,1322354536
8405,8414,901,17538,1199,3.0,1199,1279762710
15284,15293,1048,73062,1199,4.5,1199,1317783200
26132,26159,817,60511,1199,4.0,1199,1303693184
42574,42601,3126,1504,568,4.0,568,1160013033
20627,20636,5768,23474,1199,4.5,1199,1205612211
16066,16075,3389,178,60,3.0,60,1136464312
7962,7971,3677,5411,394,4.5,394,1276932980
37002,37029,4596,40153,14879,4.0,14879,1234842138
16728,16737,1414,20539,394,4.5,394,1237152816
8055,8064,385,11757,1199,4.5,1199,1314312140
33402,33429,1330,25382,394,3.5,394,1256566338
21510,21519,1843,34146,1199,4.0,1199,1295138275
32133,32160,4276,16074,1199,4.0,1199,1231053958
39137,39164,3525,20539,394,4.5,394,1207534321
4618,4618,8233,514,14,4.0,14,1037962745
6568,6577,1660,727,263,4.0,263,1227663230
43743,43770,4293,7694,3282,3.5,3282,1158763185
18743,18752,790,3606,1315,2.5,1315,1319858557
8717,8726,439,2106,394,3.5,394,1188937953
22333,22342,1009,47658,1199,5.0,1199,1318117530
42030,42057,2152,11757,1199,5.0,1199,1220123589
2036,2036,4866,29687,395,3.5,395,1248843978
15405,15414,26,1152,394,3.5,394,1083338448
39559,39586,2278,11757,1199,4.0,1199,1286142719
12256,12265,521,34146,1199,4.0,1199,1235935933
41012,41039,3940,11757,1199,5.0,1199,1269922275
25575,25602,100,73570,24445,3.5,24445,1317260730
6222,6231,3845,42591,16386,4.0,16386,1225501318
2265,2265,6173,1504,568,4.0,568,1204410519
6117,6126,296,20478,1199,4.5,1199,1299714094
31385,31412,8113,1521,568,4.5,568,1074664104
862,862,2292,35649,3268,4.5,3268,1238807013
29893,29920,2828,11757,1199,5.0,1199,1223511487
24257,24266,195,7348,1199,4.0,1199,1323487105
25737,25764,5807,26012,807,4.0,807,1225294991
39135,39162,3525,25382,394,5.0,394,1181774680
21041,21050,4905,35156,5510,4.0,5510,1239232371
23615,23624,3909,47694,14879,4.5,14879,1240978368
4697,4697,929,9118,1303,3.5,1303,1297559179
42855,42882,1342,15204,1497,4.0,1497,1313965755
43623,43650,531,727,263,3.5,263,1316878523
35469,35496,1599,966,365,3.5,365,1291083512
6366,6375,3225,52556,3268,3.5,3268,1256009539
27052,27079,2762,7463,1199,3.0,1199,1269218007
6888,6897,1159,34982,10541,3.5,10541,1233720601
43236,43263,345,44579,14756,4.0,14756,1299811919
29148,29175,4926,5411,394,3.5,394,1151967994
43196,43223,1040,58914,1199,4.5,1199,1313684131
28163,28190,7879,1598,60,3.5,60,1093036966
21774,21783,2763,16074,1199,4.5,1199,1233500846
37959,37986,377,53779,14879,4.0,14879,1299118734
32642,32669,5143,1504,568,5.0,568,1176353918
4880,4880,340,49391,395,4.0,395,1323656814
1682,1682,668,20478,1199,2.5,1199,1257991878
27906,27933,981,52211,14879,3.5,14879,1318289393
38408,38435,2276,48911,1199,4.0,1199,1257553987
27946,27973,3144,37518,14879,2.0,14879,1263259736
4703,4703,1372,33644,14879,5.0,14879,1234839471
27647,27674,1611,7348,1199,4.5,1199,1306480937
10886,10895,7713,429,1,4.0,1,1076836219
41687,41714,4046,19960,1199,4.5,1199,1224211669
5111,5111,300,44579,14756,3.5,14756,1281740073
2662,2662,990,59141,1386,4.5,1386,1278192831
22953,22962,351,21822,1199,4.5,1199,1239582151
19153,19162,4848,4073,1199,4.5,1199,1225633138
17772,17781,6591,1542,576,3.0,576,1071537647
39340,39367,4602,47695,14879,5.0,14879,1255659648
27994,28021,3046,1324,263,4.0,263,1290306791
28882,28909,8091,727,263,3.0,263,1078959022
36402,36429,99,33624,14879,4.5,14879,1292295968
20450,20459,1475,15244,2098,4.0,2098,1293512645
32588,32615,554,35036,1199,3.5,1199,1297561687
4154,4154,6843,36380,765,1.0,765,1180706908
13785,13794,2200,29145,263,4.0,263,1253533812
39066,39093,7059,8422,3282,1.0,3282,1147930340
8681,8690,8077,436,163,2.5,163,1081195455
20904,20913,462,2106,394,4.0,394,1311533532
17417,17426,1621,7348,1199,4.0,1199,1306126365
11419,11428,6710,25214,3282,4.0,3282,1149308972
23961,23970,3463,19960,1199,4.5,1199,1237598448
25081,25090,5834,11757,1199,5.0,1199,1224378881
39201,39228,7039,20470,394,4.0,394,1170299865
36314,36341,6479,11493,5313,3.0,5313,1078428067
9385,9394,1058,4073,1199,4.0,1199,1317173993
28929,28956,1778,1791,60,4.5,60,1119154531
17334,17343,6891,7463,1199,5.0,1199,1178151596
43262,43289,345,40153,14879,3.5,14879,1322960128
17244,17253,7363,11757,1199,5.0,1199,1087171820
20856,20865,70,19960,1199,4.5,1199,1308784965
22885,22894,227,25852,1199,4.0,1199,1311039874
36400,36427,99,727,263,5.0,263,1301788859
29805,29832,1520,47658,1199,4.5,1199,1240889209
22398,22407,7440,21753,1199,4.5,1199,1148301931
25342,25351,5992,7675,3268,4.0,3268,1140994754
38560,38587,2742,60511,1199,4.0,1199,1286235298
8742,8751,439,56115,14879,3.5,14879,1268164990
5731,5731,3557,33644,14879,4.5,14879,1184213580
20566,20575,5928,727,263,3.0,263,1221000330
22950,22959,351,47658,1199,4.0,1199,1282243381
15622,15631,3926,6968,1315,3.0,1315,1266801513
19432,19441,1600,727,263,4.5,263,1286336871
15540,15549,6839,29204,395,2.5,395,1153884138
4046,4046,8126,9906,394,4.0,394,1062347266
38647,38674,1740,1599,60,4.0,60,1164744840
33699,33726,1175,30682,765,1.0,765,1279127695
3806,3806,3922,19960,1199,4.0,1199,1268355489
2628,2628,2288,19960,1199,3.0,1199,1301118689
21476,21485,2955,19960,1199,4.0,1199,1268443973
41342,41369,7244,1542,576,3.0,576,1046032160
3845,3845,974,52211,14879,5.0,14879,1286909414
35059,35086,5695,1525,568,4.0,568,1214924168
31465,31492,1560,55900,1199,3.0,1199,1291616591
3995,3995,4694,7463,1199,4.0,1199,1155860037
10819,10828,1588,47694,14879,3.5,14879,1311086835
15130,15139,7454,16115,1199,4.0,1199,1117028237
32453,32480,2856,63753,22167,4.5,22167,1293067116
32098,32125,6043,33927,14879,3.0,14879,1215971578
36573,36600,2093,25884,12224,2.0,12224,1303531879
18416,18425,365,7348,1199,4.5,1199,1262906466
32641,32668,5143,19960,1199,4.5,1199,1212655115
34381,34408,629,1324,263,4.0,263,1157859795
20432,20441,6326,5441,1199,3.5,1199,1205818352
11486,11495,1715,36270,10541,3.5,10541,1259369421
34771,34798,3047,16074,1199,4.0,1199,1283239322
44162,44189,1181,21822,1199,4.0,1199,1316394888
12517,12526,1483,4904,1417,2.0,1417,1234241287
1052,1052,2910,7675,3268,3.5,3268,1226627758
9236,9245,356,5441,1199,4.0,1199,1310453277
38281,38308,5933,13350,3268,4.0,3268,1220874037
15730,15739,4397,49442,395,5.0,395,1241385710
16313,16322,598,19960,1199,5.0,1199,1301071624
16119,16128,1123,49077,1199,4.0,1199,1252885279
3093,3093,635,8422,3282,4.0,3282,1104031012
6099,6108,4738,13350,3268,4.5,3268,1252022416
44246,44273,486,25468,568,3.5,568,1178420831
32036,32063,3617,37650,13831,4.5,13831,1184284008
7638,7647,5238,35036,1199,3.5,1199,1202865692
27081,27108,5288,41778,10541,2.5,10541,1238284643
43239,43266,345,3806,1413,2.5,1413,1310587976
28553,28580,3202,16074,1199,4.5,1199,1122953275
43555,43582,6869,7672,3268,4.0,3268,1164840122
27023,27050,7006,429,1,4.0,1,1172083357
36033,36060,1045,20470,394,3.5,394,1220997573
22158,22167,8213,7811,1068,4.0,1068,1050442587
4096,4096,3709,19960,1199,3.5,1199,1174672482
19287,19296,5730,35036,1199,3.5,1199,1227049375
36250,36277,1824,23474,1199,5.0,1199,1187562495
10792,10801,820,25382,394,4.0,394,1297348255
3550,3550,706,7348,1199,4.0,1199,1320442932
36261,36288,1824,57110,14879,4.5,14879,1288620895
19965,19974,7754,1154,394,3.5,394,1037952382
16808,16817,721,24905,1199,4.0,1199,1273808481
19297,19306,402,34590,365,3.5,365,1322968119
43181,43208,1040,3606,1315,4.5,1315,1308630492
3320,3320,872,25656,9020,4.0,9020,1249699080
27743,27770,1946,5441,1199,3.5,1199,1305766684
35572,35599,3433,44351,765,3.5,765,1218923343
25752,25779,5570,429,1,4.0,1,1200123494
20368,20377,1917,7463,1199,4.0,1199,1306201053
30155,30182,1814,19960,1199,4.5,1199,1268710829
9071,9080,602,47695,14879,3.5,14879,1321306832
24425,24434,5026,37518,14879,4.0,14879,1241285770
33839,33866,5257,34146,1199,4.5,1199,1233125811
5971,5980,3301,34146,1199,4.0,1199,1235703815
399,399,1826,1599,60,1.5,60,1224897988
31713,31740,604,58540,765,1.0,765,1276568310
656,656,476,65528,24445,4.5,24445,1306163344
35244,35271,7991,727,263,4.0,263,1098069241
23422,23431,5611,1550,394,4.0,394,1154651805
12572,12581,4559,959,365,3.5,365,1239912227
4492,4492,3510,33644,14879,3.5,14879,1200467554
33139,33166,4573,961,365,3.5,365,1232946797
633,633,997,26012,807,4.5,807,1289245588
28622,28649,7437,9906,394,2.0,394,1144474244
5099,5099,300,40153,14879,3.5,14879,1235958276
26448,26475,6216,20470,394,4.0,394,1160246029
43997,44024,846,1324,263,4.5,263,1282102239
38789,38816,5786,960,365,4.5,365,1226025509
25797,25824,5407,16074,1199,4.5,1199,1220593563
6497,6506,942,429,1,4.0,1,1282516008
33914,33941,5300,7463,1199,4.0,1199,1213060653
18766,18775,3095,7463,1199,3.0,1199,1264538730
24643,24652,2853,7675,3268,3.5,3268,1247332237
42557,42584,3835,57024,1199,4.0,1199,1269793687
3004,3004,3783,176,60,4.0,60,1005606207
30068,30095,5931,33644,14879,4.5,14879,1214707499
40715,40742,8068,436,163,2.0,163,1082469551
16902,16911,1021,38468,16269,3.0,16269,1318043260
1130,1130,202,21822,1199,4.5,1199,1317780014
40480,40507,403,7348,1199,4.0,1199,1241130464
33518,33545,950,17538,1199,4.0,1199,1132371671
34104,34131,7067,5441,1199,4.0,1199,1121222484
33645,33672,409,25852,1199,4.0,1199,1315220909
1185,1185,9,4904,1417,4.0,1417,1099664266
